CUSTOMERNAME,CONTACTLASTNAME,CONTACTFIRSTNAME,PHONE_STAND,ADDRESSLINE1,CITY,STATE,POSTALCODE,COUNTRY,CUSTOMER_ID
Collectable Mini Designs Co.,Thompson,Valarie,+17605558146,361 Furth Circle,San Diego,CA,91217,USA,563
The Sharp Gifts Warehouse,Frick,Sue,+14085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,564
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,565
Collectables For Less Inc.,Nelson,Allen,+16175558555,7825 Douglas Av.,Brickhaven,MA,58339,USA,566
"Norway Gifts By Mail, Co.",Klaeboe,Jan,+474722121555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,Unknown,N 0106,Norway,567
"Bavarian Collectables Imports, Co.",Donnermeyer,Michael,+49498961089555,Hansastr. 15,Munich,Unknown,80686,Germany,568
"Classic Gift Ideas, Inc",Cervantes,Francisca,+12155554695,782 First Street,Philadelphia,PA,71270,USA,569
giftsbymail.co.uk,Bennett,Helen,+441985558888,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,570
Danish Wholesale Imports,Petersen,Jytte,+4531123555,Vinb'ltet 34,Kobenhavn,Unknown,1734,Denmark,571
Royale Belge,Cartrain,Pascale,+3207123672555,"Boulevard Tirou, 255",Charleroi,Unknown,B-6000,Belgium,572
"Stylish Desk Decors, Co.",Brown,Ann,+441715550297,35 King George,London,Unknown,WX3 6FW,UK,573
"Oulu Toy Supplies, Inc.",Koskitalo,Pirkko,+358981443655,Torikatu 38,Oulu,Unknown,90110,Finland,574
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,575
Reims Collectables,Henriot,Paul,+3326471555,59 rue de l'Abbaye,Reims,Unknown,51100,France,576
The Sharp Gifts Warehouse,Frick,Sue,+14085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,577
L'ordine Souveniers,Moroni,Maurizio,+390522556555,Strada Provinciale 124,Reggio Emilia,Unknown,42100,Italy,578
Online Diecast Creations Co.,Young,Valarie,+16035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,579
"AV Stores, Co.",Ashworth,Victoria,+441715551555,Fauntleroy Circus,Manchester,Unknown,EC2 5NT,UK,580
Signal Gift Stores,King,Sue,+17025551838,8489 Strong St.,Las Vegas,NV,83030,USA,581
Signal Collectibles Ltd.,Taylor,Sue,+14155554312,2793 Furth Circle,Brisbane,CA,94217,USA,582
Corporate Gift Ideas Co.,Brown,Julie,+16505551386,7734 Strong St.,San Francisco,CA,Unknown,USA,583
Rovelli Gifts,Rovelli,Giovanni,+39035640555,Via Ludovico il Moro 22,Bergamo,Unknown,24100,Italy,584
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,585
"Australian Collectables, Ltd",Connery,Sean,+6161938446555,7 Allen Street,Glen Waverly,Victoria,3150,Australia,586
Muscle Machine Inc,Young,Jeff,+12125557413,4092 Furth Circle,NYC,NY,10022,USA,587
"Corrida Auto Replicas, Ltd",Sommer,Mart¡n,+34915552282,"C/ Araquil, 67",Madrid,Unknown,28023,Spain,588
"Saveley & Henriot, Co.",Saveley,Mary,+3378325555,"2, rue du Commerce",Lyon,Unknown,69004,France,589
Mini Caravy,Citeaux,Frederique,+3388601555,"24, place Kluber",Strasbourg,Unknown,67000,France,590
Amica Models & Co.,Accorti,Paolo,+390114988555,Via Monte Bianco 34,Torino,Unknown,10100,Italy,591
Handji Gifts& Co,Victorino,Wendy,+65652241555,Village Close - 106 Linden Road Sandown,Singapore,Unknown,69045,Singapore,592
"UK Collectables, Ltd.",Devon,Elizabeth,+441715552282,Berkeley Gardens 12  Brewery,Liverpool,Unknown,WX1 6LT,UK,593
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,594
Motor Mint Distributors Inc.,Hernandez,Rosa,+12155559857,11328 Douglas Av.,Philadelphia,PA,71270,USA,595
Marseille Mini Autos,Lebihan,Laurence,+3391244555,"12, rue des Bouchers",Marseille,Unknown,13008,France,596
Toys4GrownUps.com,Young,Julie,+16265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,597
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,598
The Sharp Gifts Warehouse,Frick,Sue,+14085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,599
Souveniers And Things Co.,Huxley,Adrian,+6161294958555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,600
Cruz & Sons Co.,Cruz,Arnold,+636325553587,15 McCallum Street - NatWest Center #13-03,Makati City,Unknown,1227 MM,Philippines,601
Marseille Mini Autos,Lebihan,Laurence,+3391244555,"12, rue des Bouchers",Marseille,Unknown,13008,France,602
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,603
Collectables For Less Inc.,Nelson,Allen,+16175558555,7825 Douglas Av.,Brickhaven,MA,58339,USA,604
"Men 'R' US Retailers, Ltd.",Chandler,Michael,+12155554369,6047 Douglas Av.,Los Angeles,CA,Unknown,USA,605
Mini Auto Werke,Mendel,Roland,+4376753555,Kirchgasse 6,Graz,Unknown,8010,Austria,606
Herkku Gifts,Oeztan,Veysel,+474722673215,"Drammen 121, PR 744 Sentrum",Bergen,Unknown,N 5804,Norway,607
Online Diecast Creations Co.,Young,Valarie,+16035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,608
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,609
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,610
"Vida Sport, Ltd",Holz,Michael,+410897034555,Grenzacherweg 237,Gensve,Unknown,1203,Switzerland,611
"Oulu Toy Supplies, Inc.",Koskitalo,Pirkko,+358981443655,Torikatu 38,Oulu,Unknown,90110,Finland,612
"UK Collectables, Ltd.",Devon,Elizabeth,+441715552282,Berkeley Gardens 12  Brewery,Liverpool,Unknown,WX1 6LT,UK,613
L'ordine Souveniers,Moroni,Maurizio,+390522556555,Strada Provinciale 124,Reggio Emilia,Unknown,42100,Italy,614
Signal Gift Stores,King,Sue,+17025551838,8489 Strong St.,Las Vegas,NV,83030,USA,615
"Vida Sport, Ltd",Holz,Michael,+410897034555,Grenzacherweg 237,Gensve,Unknown,1203,Switzerland,616
"Blauer See Auto, Co.",Keitel,Roland,+49496966902555,Lyonerstr. 34,Frankfurt,Unknown,60528,Germany,617
"Toms Spezialitten, Ltd",Pfalzheim,Henriette,+4902215554327,Mehrheimerstr. 369,Koln,Unknown,50739,Germany,618
FunGiftIdeas.com,Benitez,Violeta,+15085552555,1785 First Street,New Bedford,MA,50553,USA,619
Land of Toys Inc.,Yu,Kwai,+12125557818,897 Long Airport Avenue,NYC,NY,10022,USA,620
"Australian Collectors, Co.",Ferguson,Peter,+610395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,621
Suominen Souveniers,Suominen,Kalle,+35835898045555,"Software Engineering Center, SEC Oy",Espoo,Unknown,FIN-02271,Finland,622
"Toys of Finland, Co.",Karttunen,Matti,+358902248555,Keskuskatu 45,Helsinki,Unknown,21240,Finland,623
Scandinavian Gift Ideas,Larsson,Maria,+460695346555,?kergatan 24,Boras,Unknown,S-844 67,Sweden,624
Mini Caravy,Citeaux,Frederique,+3388601555,"24, place Kluber",Strasbourg,Unknown,67000,France,625
Salzburg Collectables,Pipps,Georg,+4365629555,Geislweg 14,Salzburg,Unknown,5020,Austria,626
Motor Mint Distributors Inc.,Hernandez,Rosa,+12155559857,11328 Douglas Av.,Philadelphia,PA,71270,USA,627
Marseille Mini Autos,Lebihan,Laurence,+3391244555,"12, rue des Bouchers",Marseille,Unknown,13008,France,628
Alpha Cognac,Roulet,Annette,+3361776555,1 rue Alsace-Lorraine,Toulouse,Unknown,31000,France,629
"Anna's Decorations, Ltd",O'Hara,Anna,+610299368555,201 Miller Street,North Sydney,NSW,2060,Australia,630
Heintze Collectables,Ibsen,Palle,+4586213555,Smagsloget 45,Aaarhus,Unknown,8200,Denmark,631
Quebec Home Shopping Network,Fresnisre,Jean,+15145558054,43 rue St. Laurent,Montreal,Quebec,H1J 1C3,Canada,632
Herkku Gifts,Oeztan,Veysel,+474722673215,"Drammen 121, PR 744 Sentrum",Bergen,Unknown,N 5804,Norway,633
Online Diecast Creations Co.,Young,Valarie,+16035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,634
Muscle Machine Inc,Young,Jeff,+12125557413,4092 Furth Circle,NYC,NY,10022,USA,635
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,636
Collectable Mini Designs Co.,Thompson,Valarie,+17605558146,361 Furth Circle,San Diego,CA,91217,USA,637
Osaka Souveniers Co.,Kentary,Mory,+81810663425555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,638
"UK Collectables, Ltd.",Devon,Elizabeth,+441715552282,Berkeley Gardens 12  Brewery,Liverpool,Unknown,WX1 6LT,UK,639
L'ordine Souveniers,Moroni,Maurizio,+390522556555,Strada Provinciale 124,Reggio Emilia,Unknown,42100,Italy,640
Signal Gift Stores,King,Sue,+17025551838,8489 Strong St.,Las Vegas,NV,83030,USA,641
"Vida Sport, Ltd",Holz,Michael,+410897034555,Grenzacherweg 237,Gensve,Unknown,1203,Switzerland,642
"Norway Gifts By Mail, Co.",Klaeboe,Jan,+474722121555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,Unknown,N 0106,Norway,643
"Toms Spezialitten, Ltd",Pfalzheim,Henriette,+4902215554327,Mehrheimerstr. 369,Koln,Unknown,50739,Germany,644
FunGiftIdeas.com,Benitez,Violeta,+15085552555,1785 First Street,New Bedford,MA,50553,USA,645
Motor Mint Distributors Inc.,Hernandez,Rosa,+12155559857,11328 Douglas Av.,Philadelphia,PA,71270,USA,646
"Australian Collectors, Co.",Ferguson,Peter,+610395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,647
Lyon Souveniers,Da Cunha,Daniel,+3333146627555,27 rue du Colonel Pierre Avia,Paris,Unknown,75508,France,648
Royale Belge,Cartrain,Pascale,+3207123672555,"Boulevard Tirou, 255",Charleroi,Unknown,B-6000,Belgium,649
"Toys of Finland, Co.",Karttunen,Matti,+358902248555,Keskuskatu 45,Helsinki,Unknown,21240,Finland,650
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,651
Danish Wholesale Imports,Petersen,Jytte,+4531123555,Vinb'ltet 34,Kobenhavn,Unknown,1734,Denmark,652
Salzburg Collectables,Pipps,Georg,+4365629555,Geislweg 14,Salzburg,Unknown,5020,Austria,653
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,654
Classic Legends Inc.,Hernandez,Maria,+12125558493,5905 Pompton St.,NYC,NY,10022,USA,655
Muscle Machine Inc,Young,Jeff,+12125557413,4092 Furth Circle,NYC,NY,10022,USA,656
Suominen Souveniers,Suominen,Kalle,+35835898045555,"Software Engineering Center, SEC Oy",Espoo,Unknown,FIN-02271,Finland,657
"Oulu Toy Supplies, Inc.",Koskitalo,Pirkko,+358981443655,Torikatu 38,Oulu,Unknown,90110,Finland,658
"Dragon Souveniers, Ltd.",Natividad,Eric,+65652217555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Unknown,79903,Singapore,659
L'ordine Souveniers,Moroni,Maurizio,+390522556555,Strada Provinciale 124,Reggio Emilia,Unknown,42100,Italy,660
"Iberia Gift Imports, Corp.",Roel,Jose Pedro,+34955558282,"C/ Romero, 33",Sevilla,Unknown,41101,Spain,661
Mini Classics,Frick,Steve,+19145554562,3758 North Pendale Street,White Plains,NY,24067,USA,662
Diecast Collectables,Franco,Valarie,+16175552555,6251 Ingle Ln.,Boston,MA,51003,USA,663
Signal Collectibles Ltd.,Taylor,Sue,+14155554312,2793 Furth Circle,Brisbane,CA,94217,USA,664
"Blauer See Auto, Co.",Keitel,Roland,+49496966902555,Lyonerstr. 34,Frankfurt,Unknown,60528,Germany,665
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,666
Handji Gifts& Co,Victorino,Wendy,+65652241555,Village Close - 106 Linden Road Sandown,Singapore,Unknown,69045,Singapore,667
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,668
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,669
Land of Toys Inc.,Yu,Kwai,+12125557818,897 Long Airport Avenue,NYC,NY,10022,USA,670
Marta's Replicas Co.,Hernandez,Marta,+16175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,671
Heintze Collectables,Ibsen,Palle,+4586213555,Smagsloget 45,Aaarhus,Unknown,8200,Denmark,672
Vitachrome Inc.,Frick,Michael,+12125551500,2678 Kingston Rd.,NYC,NY,10022,USA,673
"La Corne D'abondance, Co.",Bertrand,Marie,+33142342555,"265, boulevard Charonne",Paris,Unknown,75012,France,674
Muscle Machine Inc,Young,Jeff,+12125557413,4092 Furth Circle,NYC,NY,10022,USA,675
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,676
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,677
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,678
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,679
La Rochelle Gifts,Labrune,Janine,+3340678555,"67, rue des Cinquante Otages",Nantes,Unknown,44000,France,680
Online Diecast Creations Co.,Young,Valarie,+16035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,681
"AV Stores, Co.",Ashworth,Victoria,+441715551555,Fauntleroy Circus,Manchester,Unknown,EC2 5NT,UK,682
Signal Gift Stores,King,Sue,+17025551838,8489 Strong St.,Las Vegas,NV,83030,USA,683
Signal Collectibles Ltd.,Taylor,Sue,+14155554312,2793 Furth Circle,Brisbane,CA,94217,USA,684
Corporate Gift Ideas Co.,Brown,Julie,+16505551386,7734 Strong St.,San Francisco,CA,Unknown,USA,685
Rovelli Gifts,Rovelli,Giovanni,+39035640555,Via Ludovico il Moro 22,Bergamo,Unknown,24100,Italy,686
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,687
"Australian Collectables, Ltd",Connery,Sean,+6161938446555,7 Allen Street,Glen Waverly,Victoria,3150,Australia,688
Muscle Machine Inc,Young,Jeff,+12125557413,4092 Furth Circle,NYC,NY,10022,USA,689
"Corrida Auto Replicas, Ltd",Sommer,Mart¡n,+34915552282,"C/ Araquil, 67",Madrid,Unknown,28023,Spain,690
"Saveley & Henriot, Co.",Saveley,Mary,+3378325555,"2, rue du Commerce",Lyon,Unknown,69004,France,691
Mini Caravy,Citeaux,Frederique,+3388601555,"24, place Kluber",Strasbourg,Unknown,67000,France,692
Amica Models & Co.,Accorti,Paolo,+390114988555,Via Monte Bianco 34,Torino,Unknown,10100,Italy,693
Handji Gifts& Co,Victorino,Wendy,+65652241555,Village Close - 106 Linden Road Sandown,Singapore,Unknown,69045,Singapore,694
"Iberia Gift Imports, Corp.",Roel,Jose Pedro,+34955558282,"C/ Romero, 33",Sevilla,Unknown,41101,Spain,695
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,696
"AV Stores, Co.",Ashworth,Victoria,+441715551555,Fauntleroy Circus,Manchester,Unknown,EC2 5NT,UK,697
Marseille Mini Autos,Lebihan,Laurence,+3391244555,"12, rue des Bouchers",Marseille,Unknown,13008,France,698
Toys4GrownUps.com,Young,Julie,+16265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,699
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,700
The Sharp Gifts Warehouse,Frick,Sue,+14085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,701
Souveniers And Things Co.,Huxley,Adrian,+6161294958555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,702
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,703
"La Corne D'abondance, Co.",Bertrand,Marie,+33142342555,"265, boulevard Charonne",Paris,Unknown,75012,France,704
Muscle Machine Inc,Young,Jeff,+12125557413,4092 Furth Circle,NYC,NY,10022,USA,705
Suominen Souveniers,Suominen,Kalle,+35835898045555,"Software Engineering Center, SEC Oy",Espoo,Unknown,FIN-02271,Finland,706
"Oulu Toy Supplies, Inc.",Koskitalo,Pirkko,+358981443655,Torikatu 38,Oulu,Unknown,90110,Finland,707
"Dragon Souveniers, Ltd.",Natividad,Eric,+65652217555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Unknown,79903,Singapore,708
"Stylish Desk Decors, Co.",Brown,Ann,+441715550297,35 King George,London,Unknown,WX3 6FW,UK,709
"Iberia Gift Imports, Corp.",Roel,Jose Pedro,+34955558282,"C/ Romero, 33",Sevilla,Unknown,41101,Spain,710
Mini Classics,Frick,Steve,+19145554562,3758 North Pendale Street,White Plains,NY,24067,USA,711
Diecast Collectables,Franco,Valarie,+16175552555,6251 Ingle Ln.,Boston,MA,51003,USA,712
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,713
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,714
Handji Gifts& Co,Victorino,Wendy,+65652241555,Village Close - 106 Linden Road Sandown,Singapore,Unknown,69045,Singapore,715
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,716
Diecast Classics Inc.,Yu,Kyung,+12155551555,7586 Pompton St.,Allentown,PA,70267,USA,717
Land of Toys Inc.,Yu,Kwai,+12125557818,897 Long Airport Avenue,NYC,NY,10022,USA,718
Marta's Replicas Co.,Hernandez,Marta,+16175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,719
Canadian Gift Exchange Network,Tannamuri,Yoshi,+16045553392,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,720
Vitachrome Inc.,Frick,Michael,+12125551500,2678 Kingston Rd.,NYC,NY,10022,USA,721
"Volvo Model Replicas, Co",Berglund,Christina,+460921123555,Berguvsvgen  8,Lule,Unknown,S-958 22,Sweden,722
Muscle Machine Inc,Young,Jeff,+12125557413,4092 Furth Circle,NYC,NY,10022,USA,723
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,724
"Anna's Decorations, Ltd",O'Hara,Anna,+610299368555,201 Miller Street,North Sydney,NSW,2060,Australia,725
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,726
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,727
La Rochelle Gifts,Labrune,Janine,+3340678555,"67, rue des Cinquante Otages",Nantes,Unknown,44000,France,728
"Blauer See Auto, Co.",Keitel,Roland,+49496966902555,Lyonerstr. 34,Frankfurt,Unknown,60528,Germany,729
"AV Stores, Co.",Ashworth,Victoria,+441715551555,Fauntleroy Circus,Manchester,Unknown,EC2 5NT,UK,730
Signal Gift Stores,King,Sue,+17025551838,8489 Strong St.,Las Vegas,NV,83030,USA,731
Signal Collectibles Ltd.,Taylor,Sue,+14155554312,2793 Furth Circle,Brisbane,CA,94217,USA,732
Corporate Gift Ideas Co.,Brown,Julie,+16505551386,7734 Strong St.,San Francisco,CA,Unknown,USA,733
Rovelli Gifts,Rovelli,Giovanni,+39035640555,Via Ludovico il Moro 22,Bergamo,Unknown,24100,Italy,734
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,735
"Australian Collectables, Ltd",Connery,Sean,+6161938446555,7 Allen Street,Glen Waverly,Victoria,3150,Australia,736
Muscle Machine Inc,Young,Jeff,+12125557413,4092 Furth Circle,NYC,NY,10022,USA,737
"Corrida Auto Replicas, Ltd",Sommer,Mart¡n,+34915552282,"C/ Araquil, 67",Madrid,Unknown,28023,Spain,738
"Saveley & Henriot, Co.",Saveley,Mary,+3378325555,"2, rue du Commerce",Lyon,Unknown,69004,France,739
Diecast Collectables,Franco,Valarie,+16175552555,6251 Ingle Ln.,Boston,MA,51003,USA,740
Amica Models & Co.,Accorti,Paolo,+390114988555,Via Monte Bianco 34,Torino,Unknown,10100,Italy,741
Handji Gifts& Co,Victorino,Wendy,+65652241555,Village Close - 106 Linden Road Sandown,Singapore,Unknown,69045,Singapore,742
Auto Assoc. & Cie.,Tonini,Daniel,+3330598555,"67, avenue de l'Europe",Versailles,Unknown,78000,France,743
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,744
Online Diecast Creations Co.,Young,Valarie,+16035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,745
"AV Stores, Co.",Ashworth,Victoria,+441715551555,Fauntleroy Circus,Manchester,Unknown,EC2 5NT,UK,746
Marseille Mini Autos,Lebihan,Laurence,+3391244555,"12, rue des Bouchers",Marseille,Unknown,13008,France,747
Lyon Souveniers,Da Cunha,Daniel,+3333146627555,27 rue du Colonel Pierre Avia,Paris,Unknown,75508,France,748
Toys4GrownUps.com,Young,Julie,+16265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,749
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,750
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,751
Handji Gifts& Co,Victorino,Wendy,+65652241555,Village Close - 106 Linden Road Sandown,Singapore,Unknown,69045,Singapore,752
Souveniers And Things Co.,Huxley,Adrian,+6161294958555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,753
Baane Mini Imports,Bergulfsen,Jonas,+4707989555,Erling Skakkes gate 78,Stavern,Unknown,4110,Norway,754
"La Corne D'abondance, Co.",Bertrand,Marie,+33142342555,"265, boulevard Charonne",Paris,Unknown,75012,France,755
"Corrida Auto Replicas, Ltd",Sommer,Mart¡n,+34915552282,"C/ Araquil, 67",Madrid,Unknown,28023,Spain,756
Technics Stores Inc.,Hirano,Juri,+16505556809,9408 Furth Circle,Burlingame,CA,94217,USA,757
"Oulu Toy Supplies, Inc.",Koskitalo,Pirkko,+358981443655,Torikatu 38,Oulu,Unknown,90110,Finland,758
"Dragon Souveniers, Ltd.",Natividad,Eric,+65652217555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Unknown,79903,Singapore,759
"Stylish Desk Decors, Co.",Brown,Ann,+441715550297,35 King George,London,Unknown,WX3 6FW,UK,760
"Iberia Gift Imports, Corp.",Roel,Jose Pedro,+34955558282,"C/ Romero, 33",Sevilla,Unknown,41101,Spain,761
"Saveley & Henriot, Co.",Saveley,Mary,+3378325555,"2, rue du Commerce",Lyon,Unknown,69004,France,762
Diecast Collectables,Franco,Valarie,+16175552555,6251 Ingle Ln.,Boston,MA,51003,USA,763
Handji Gifts& Co,Victorino,Wendy,+65652241555,Village Close - 106 Linden Road Sandown,Singapore,Unknown,69045,Singapore,764
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,765
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,766
Handji Gifts& Co,Victorino,Wendy,+65652241555,Village Close - 106 Linden Road Sandown,Singapore,Unknown,69045,Singapore,767
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,768
Diecast Classics Inc.,Yu,Kyung,+12155551555,7586 Pompton St.,Allentown,PA,70267,USA,769
Scandinavian Gift Ideas,Larsson,Maria,+460695346555,?kergatan 24,Boras,Unknown,S-844 67,Sweden,770
Marta's Replicas Co.,Hernandez,Marta,+16175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,771
Canadian Gift Exchange Network,Tannamuri,Yoshi,+16045553392,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,772
Online Diecast Creations Co.,Young,Valarie,+16035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,773
"Volvo Model Replicas, Co",Berglund,Christina,+460921123555,Berguvsvgen  8,Lule,Unknown,S-958 22,Sweden,774
"Australian Collectors, Co.",Ferguson,Peter,+610395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,775
Mini Gifts Distributors Ltd.,Nelson,Valarie,+14155551450,5677 Strong St.,San Rafael,CA,97562,USA,776
"Anna's Decorations, Ltd",O'Hara,Anna,+610299368555,201 Miller Street,North Sydney,NSW,2060,Australia,777
Corporate Gift Ideas Co.,Brown,Julie,+16505551386,7734 Strong St.,San Francisco,CA,Unknown,USA,778
"Anna's Decorations, Ltd",O'Hara,Anna,+610299368555,201 Miller Street,North Sydney,NSW,2060,Australia,779
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,780
La Rochelle Gifts,Labrune,Janine,+3340678555,"67, rue des Cinquante Otages",Nantes,Unknown,44000,France,781
Rovelli Gifts,Rovelli,Giovanni,+39035640555,Via Ludovico il Moro 22,Bergamo,Unknown,24100,Italy,782
"Australian Collectors, Co.",Ferguson,Peter,+610395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,783
Euro Shopping Channel,Freyre,Diego,+34915559444,"C/ Moralzarzal, 86",Madrid,Unknown,28034,Spain,784
Toys4GrownUps.com,Young,Julie,+16265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,785
Technics Stores Inc.,Hirano,Juri,+16505556809,9408 Furth Circle,Burlingame,CA,94217,USA,786
Osaka Souveniers Co.,Kentary,Mory,+81810663425555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,787
"Australian Collectors, Co.",Ferguson,Peter,+610395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,788
"Royal Canadian Collectables, Ltd.",Lincoln,Elizabeth,+16045554555,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,789
The Sharp Gifts Warehouse,Frick,Sue,+14085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,790
Gift Depot Inc.,King,Julie,+12035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,791
La Rochelle Gifts,Labrune,Janine,+3340678555,"67, rue des Cinquante Otages",Nantes,Unknown,44000,France,792
"Norway Gifts By Mail, Co.",Klaeboe,Jan,+474722121555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,Unknown,N 0106,Norway,793
"Clover Collections, Co.",Cassidy,Dean,+35335318621555,25 Maiden Lane,Dublin,Unknown,2,Ireland,794
Mini Classics,Frick,Steve,+19145554562,3758 North Pendale Street,White Plains,NY,24067,USA,795
